timeframe,capital,strategy,max_concurrent,ml_threshold,sizing_config,total_resolved,wins,losses,winrate,final_balance,max_dd_usd,max_dd_pct,blown
M15,50.0,FVG,1,0.0,equal,1480,871,609,58.851351351351354,2014.5299960000202,420.78460800000084,45.16367979486336,False
M15,50.0,FVG,1,0.5,equal,361,216,145,59.83379501385041,1403.3699040000101,353.7971380000008,70.73141027984576,False
M15,50.0,FVG,1,0.7,equal,5,1,4,20.0,0.0,96.25027399999908,146.08497036570412,True
M15,50.0,FVG,1,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,FVG,1,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
M15,50.0,FVG,3,0.0,equal,1582,941,641,59.48166877370418,2337.516090000023,434.70887200000016,44.73555999999917,False
M15,50.0,FVG,3,0.5,equal,370,224,146,60.54054054054055,1596.4957960000092,353.7971380000008,51.831555707623565,False
M15,50.0,FVG,3,0.7,equal,5,1,4,20.0,0.0,96.25027399999908,146.08497036570412,True
M15,50.0,FVG,3,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,FVG,3,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
M15,50.0,FVG,5,0.0,equal,1582,941,641,59.48166877370418,2337.516090000023,434.70887200000016,44.73555999999917,False
M15,50.0,FVG,5,0.5,equal,370,224,146,60.54054054054055,1596.4957960000092,353.7971380000008,51.831555707623565,False
M15,50.0,FVG,5,0.7,equal,5,1,4,20.0,0.0,96.25027399999908,146.08497036570412,True
M15,50.0,FVG,5,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,FVG,5,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
M15,50.0,FVG,100,0.0,equal,1582,941,641,59.48166877370418,2337.516090000023,434.70887200000016,44.73555999999917,False
M15,50.0,FVG,100,0.5,equal,370,224,146,60.54054054054055,1596.4957960000092,353.7971380000008,51.831555707623565,False
M15,50.0,FVG,100,0.7,equal,5,1,4,20.0,0.0,96.25027399999908,146.08497036570412,True
M15,50.0,FVG,100,0.8,equal,2,0,2,0.0,0.0,98.21435799999927,196.42871599999853,True
M15,50.0,FVG,100,0.85,equal,1,0,1,0.0,0.0,55.40949999999975,110.8189999999995,True
M15,50.0,OB,1,0.0,equal,17,3,14,17.647058823529413,0.0,66.43500800000038,132.87001600000076,True
M15,50.0,OB,1,0.5,equal,7,1,6,14.285714285714285,65.43813200000204,22.20687799999905,40.53697999999895,False
M15,50.0,OB,1,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,1,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,1,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,3,0.0,equal,17,3,14,17.647058823529413,0.0,66.43500800000038,132.87001600000076,True
M15,50.0,OB,3,0.5,equal,7,1,6,14.285714285714285,65.43813200000204,22.20687799999905,40.53697999999895,False
M15,50.0,OB,3,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,3,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,3,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,5,0.0,equal,17,3,14,17.647058823529413,0.0,66.43500800000038,132.87001600000076,True
M15,50.0,OB,5,0.5,equal,7,1,6,14.285714285714285,65.43813200000204,22.20687799999905,40.53697999999895,False
M15,50.0,OB,5,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,5,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,5,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,100,0.0,equal,17,3,14,17.647058823529413,0.0,66.43500800000038,132.87001600000076,True
M15,50.0,OB,100,0.5,equal,7,1,6,14.285714285714285,65.43813200000204,22.20687799999905,40.53697999999895,False
M15,50.0,OB,100,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,100,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,OB,100,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,1,0.0,equal,103,39,64,37.86407766990291,78.0,14.0,20.588235294117645,False
M15,50.0,BB,1,0.5,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,1,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,1,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,1,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,3,0.0,equal,103,39,64,37.86407766990291,78.0,14.0,20.588235294117645,False
M15,50.0,BB,3,0.5,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,3,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,3,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,3,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,5,0.0,equal,103,39,64,37.86407766990291,78.0,14.0,20.588235294117645,False
M15,50.0,BB,5,0.5,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,5,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,5,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,5,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.0,equal,103,39,64,37.86407766990291,78.0,14.0,20.588235294117645,False
M15,50.0,BB,100,0.5,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,1,0.0,equal,905,389,516,42.98342541436464,1536.626973999997,291.9402960000025,92.66616765499728,False
M15,50.0,Swapzone,1,0.5,equal,26,9,17,34.61538461538461,135.61056400000052,116.24506400000064,67.26612171183281,False
M15,50.0,Swapzone,1,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
