time,Open,High,Low,Close,Volume
2025-12-07,4202.426,4208.458,4189.804,4201.389,2189
2025-12-08,4201.433,4218.963,4176.137,4194.735,266750
2025-12-09,4194.74,4221.526,4170.097,4210.87,334230
2025-12-10,4210.815,4238.706,4181.686,4232.419,368622
2025-12-11,4232.502,4285.959,4204.316,4276.523,581908
2025-12-12,4276.471,4353.57,4256.958,4300.983,505968
2025-12-14,4300.525,4308.411,4299.862,4302.391,9925
2025-12-15,4302.431,4350.352,4285.18,4304.15,359708
2025-12-16,4304.132,4335.137,4271.599,4307.86,394080
2025-12-17,4307.905,4349.297,4306.453,4339.201,389348
2025-12-18,4339.15,4374.645,4308.654,4335.144,415106
2025-12-19,4335.17,4356.559,4309.221,4339.365,308804
2025-12-21,4340.979,4356.441,4339.944,4355.345,7979
2025-12-22,4355.278,4461.775,4355.278,4460.243,301595
2025-12-23,4460.236,4510.399,4430.559,4503.344,369121
2025-12-24,4503.359,4525.969,4448.294,4480.715,347240
2025-12-25,4486.193,4500.024,4484.435,4495.245,9555
2025-12-26,4495.172,4550.188,4492.303,4532.515,414544
2025-12-28,4546.214,4548.5,4523.347,4527.184,25289
2025-12-29,4527.21,4528.031,4302.137,4345.645,685817
2025-12-30,4345.585,4404.262,4324.41,4338.922,464785
2025-12-31,4338.977,4373.45,4274.341,4318.847,442589
2026-01-01,4328.34,4351.526,4327.673,4348.349,8141
2026-01-02,4348.358,4402.465,4309.68,4331.759,382328
2026-01-04,4353.486,4375.927,4349.834,4372.57,15661
2026-01-05,4372.597,4460.29,4370.227,4440.334,450854
2026-01-06,4440.426,4500.541,4427.675,4493.223,379402
2026-01-07,4493.308,4495.931,4423.563,4463.418,434753
2026-01-08,4463.439,4484.203,4407.557,4475.597,418793
2026-01-09,4475.632,4517.18,4452.819,4509.075,373446
2026-01-11,4517.918,4545.01,4517.918,4539.96,13229
2026-01-12,4540.027,4630.183,4536.272,4599.371,486255
2026-01-13,4599.408,4634.774,4569.234,4597.136,418558
2026-01-14,4597.181,4643.164,4597.11,4615.294,457715
2026-01-15,4615.256,4624.902,4580.995,4610.284,441747
2026-01-16,4610.243,4620.563,4536.729,4596.588,437162
2026-01-18,4655.358,4690.7,4653.824,4672.573,25469
2026-01-19,4672.63,4682.114,4653.138,4665.406,259591
2026-01-20,4665.371,4781.083,4659.455,4775.878,447317
2026-01-21,4775.829,4888.495,4755.85,4778.381,728330
2026-01-22,4778.317,4960.587,4772.208,4958.972,460131
2026-01-23,4959.011,4989.804,4899.542,4988.337,466552
2026-01-25,5019.847,5040.296,5003.575,5039.789,30605
2026-01-26,5039.821,5111.144,4989.632,5043.629,847116
2026-01-27,5043.588,5190.49,5013.485,5172.433,767074
2026-01-28,5172.389,5570.018,5157.059,5513.022,1049429
2026-01-29,5512.989,5595.349,5094.978,5438.589,1287138
2026-01-30,5438.551,5450.946,4682.526,4891.496,2315638
2026-02-01,4793.519,4819.788,4697.912,4741.422,41133
2026-02-02,4741.564,4884.89,4401.961,4774.148,1430317
2026-02-03,4774.235,4993.649,4745.469,4947.236,746083
2026-02-04,4947.389,5091.855,4852.203,5012.195,567185
2026-02-05,5012.269,5020.51,4703.368,4703.768,828533
2026-02-06,4703.682,4971.478,4655.213,4968.145,470218
2026-02-08,4967.633,5046.837,4964.697,5035.944,13778
2026-02-09,5036.019,5086.697,4968.921,5031.903,310319
2026-02-10,5031.829,5078.663,4998.72,5041.55,293093
2026-02-11,5041.616,5119.259,5019.052,5061.397,283086
2026-02-12,5061.305,5083.763,4878.366,4920.302,388342
2026-02-13,4920.054,5046.101,4913.787,5042.605,295612
2026-02-15,5026.64,5032.237,5010.128,5019.914,9934
2026-02-16,5019.874,5031.48,4964.573,4989.986,142463
2026-02-17,4989.899,4991.592,4841.149,4859.523,317839
2026-02-18,4859.221,5010.974,4858.455,4976.255,188346
2026-02-19,4976.015,5022.336,4960.446,4987.7,183001
2026-02-20,4987.764,5108.031,4981.699,5105.809,252250
2026-02-22,5111.637,5171.868,5108.785,5165.373,10741
2026-02-23,5165.366,5249.439,5122.192,5235.933,231559
2026-02-24,5235.839,5238.095,5093.319,5146.578,264174
2026-02-25,5146.576,5217.614,5136.459,5163.125,207782
2026-02-26,5163.219,5205.41,5130.47,5184.462,235766
2026-02-27,5184.431,5281.253,5166.688,5279.022,218301
2026-03-01,5319.272,5393.371,5314.681,5386.916,16153
2026-03-02,5386.641,5419.03,5260.224,5345.688,412454
2026-03-03,5345.693,5379.802,4995.96,5125.056,664194
2026-03-04,5125.116,5205.974,5105.702,5164.962,390977
2026-03-05,5164.887,5194.986,5050.681,5086.266,340918
2026-03-06,5086.068,5176.565,5062.475,5174.067,292218
2026-03-08,5178.794,5180.193,5044.202,5075.442,40721
2026-03-09,5075.974,5155.948,5014.438,5139.445,342432
2026-03-10,5139.609,5238.432,5124.549,5196.851,239062
2026-03-11,5196.925,5223.041,5129.795,5134.222,202198
2026-03-12,5134.08,5191.657,5054.751,5098.163,218473
2026-03-13,5098.067,5128.363,5009.525,5020.977,225061
2026-03-15,5017.112,5030.407,4966.796,4997.507,23597
2026-03-16,4997.434,5038.067,4970.011,5012.795,235426
2026-03-17,5012.899,5044.474,4973.345,5002.75,187397
2026-03-18,5002.803,5016.311,4804.247,4836.86,292082
2026-03-19,4836.657,4866.892,4502.61,4643.703,605488
2026-03-20,4643.631,4735.802,4477.057,4497.479,732855
2026-03-22,4477.751,4536.1,4449.511,4464.724,48927
2026-03-23,4464.563,4512.782,4098.357,4441.191,2070834
2026-03-24,4441.133,4551.356,4305.617,4546.757,1134606
2026-03-25,4546.67,4602.458,4486.821,4498.103,710584
2026-03-26,4498.351,4544.567,4350.95,4404.911,933061
2026-03-27,4404.958,4555.421,4375.187,4495.377,505575
2026-03-29,4511.704,4513.9,4443.776,4448.566,33532
2026-03-30,4448.666,4580.694,4418.467,4513.571,446052
