symbol,requested_symbol,timeframe,strategy,sizing_config,capital,ml_threshold,max_concurrent,setup_count,total_resolved,wins,losses,missed,winrate,final_balance,max_dd_usd,max_dd_pct,blown,tick_days_requested,tick_days_required,tick_days_with_ticks,tick_days_missing,tick_missing_days,tick_missing_cache_files,tick_coverage_pct,is_real_tick_complete
XAUUSDm,XAUUSD,H4,FVG,equal,50.0,0.5,3,255,55,43,12,200,78.18181818181819,2218.1302479999995,140.8574239999998,28.013177629663804,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,OB,equal,50.0,0.5,3,14,4,3,1,10,75.0,247.50522600000022,18.829773999999816,18.388540959672557,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BB,equal,50.0,0.5,3,0,0,0,0,0,0.0,50.0,0.0,0.0,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,Swapzone,equal,50.0,0.5,3,20,5,4,1,15,80.0,263.08012600000075,21.03899999999976,13.786638586719388,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BPR,equal,50.0,0.5,3,62,4,2,2,58,50.0,0.0,245.17407999999887,327.0623044855762,True,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,IC,equal,50.0,0.5,3,25,11,8,3,14,72.72727272727273,341.70387200000096,46.623421999999664,22.58267626863358,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,COMBINED,equal,50.0,0.5,3,376,120,93,27,256,77.5,3741.7460079999973,245.17407999999887,47.50464943752554,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,FVG,equal,100.0,0.5,3,255,55,43,12,200,78.18181818181819,2268.1302479999995,140.8574239999998,22.19300345577346,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,OB,equal,100.0,0.5,3,14,4,3,1,10,75.0,297.5052260000002,18.829773999999816,12.355535287189179,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BB,equal,100.0,0.5,3,0,0,0,0,0,0.0,100.0,0.0,0.0,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,Swapzone,equal,100.0,0.5,3,20,5,4,1,15,80.0,313.08012600000075,21.03899999999976,10.384282313962494,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BPR,equal,100.0,0.5,3,62,4,2,2,58,50.0,0.0,245.17407999999887,196.19812343703077,True,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,IC,equal,100.0,0.5,3,25,11,8,3,14,72.72727272727273,391.70387200000096,46.623421999999664,18.179849888353647,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,COMBINED,equal,100.0,0.5,3,376,120,93,27,256,77.5,3791.7460079999973,245.17407999999887,43.30890725939655,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,FVG,weighted,50.0,0.5,3,255,55,43,12,200,78.18181818181819,3242.989496,202.39884799999982,32.77496202341647,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,OB,weighted,50.0,0.5,3,14,4,3,1,10,75.0,228.6754520000004,37.65954799999963,36.777081919345115,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BB,weighted,50.0,0.5,3,0,0,0,0,0,0.0,50.0,0.0,0.0,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,Swapzone,weighted,50.0,0.5,3,20,5,4,1,15,80.0,389.5962520000003,21.03899999999976,10.221018062563198,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BPR,weighted,50.0,0.5,3,62,4,2,2,58,50.0,0.0,351.6281599999984,469.0720827080208,True,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,IC,weighted,50.0,0.5,3,25,11,8,3,14,72.72727272727273,416.05724400000145,77.73434399999951,26.9700991902939,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,COMBINED,weighted,50.0,0.5,3,376,120,93,27,256,77.5,5415.172515999999,351.6281599999984,51.04357608087488,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,FVG,weighted,100.0,0.5,3,255,55,43,12,200,78.18181818181819,3292.989496,202.39884799999982,27.011818040711873,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,OB,weighted,100.0,0.5,3,14,4,3,1,10,75.0,278.6754520000004,37.65954799999963,24.711070574378358,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BB,weighted,100.0,0.5,3,0,0,0,0,0,0.0,100.0,0.0,0.0,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,Swapzone,weighted,100.0,0.5,3,20,5,4,1,15,80.0,439.5962520000003,21.03899999999976,8.223481318942662,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,BPR,weighted,100.0,0.5,3,62,4,2,2,58,50.0,0.0,351.6281599999984,281.3869440832245,True,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,IC,weighted,100.0,0.5,3,25,11,8,3,14,72.72727272727273,466.05724400000145,77.73434399999951,22.983083810852737,False,156,132,131,1,2026-01-02,,99.242424,False
XAUUSDm,XAUUSD,H4,COMBINED,weighted,100.0,0.5,3,376,120,93,27,256,77.5,5465.172515999999,351.6281599999984,47.58945037747597,False,156,132,131,1,2026-01-02,,99.242424,False
