symbol,requested_symbol,timeframe,strategy,sizing_config,capital,ml_threshold,max_concurrent,setup_count,total_resolved,wins,losses,missed,winrate,final_balance,max_dd_usd,max_dd_pct,blown,tick_days_requested,tick_days_required,tick_days_with_ticks,tick_days_missing,tick_missing_days,tick_missing_cache_files,tick_coverage_pct,is_real_tick_complete
XAUUSDm,XAUUSD,H4,FVG,equal,50.0,0.5,3,262,56,43,13,206,76.78571428571429,2197.1379719999995,140.8574239999998,28.013177629663804,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,OB,equal,50.0,0.5,3,15,4,3,1,11,75.0,247.50522600000022,18.829773999999816,18.388540959672557,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BB,equal,50.0,0.5,3,0,0,0,0,0,0.0,50.0,0.0,0.0,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,Swapzone,equal,50.0,0.5,3,19,4,3,1,15,75.0,189.80027600000085,21.03899999999976,13.786638586719388,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BPR,equal,50.0,0.5,3,69,8,6,2,61,75.0,0.0,245.17407999999887,132.3690692090668,True,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,IC,equal,50.0,0.5,3,29,13,10,3,16,76.92307692307693,454.84287200000017,27.836049999999886,10.985924922680637,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,COMBINED,equal,50.0,0.5,3,394,127,99,28,267,77.95275590551181,3889.799949999996,245.17407999999887,39.142490356007606,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,FVG,equal,100.0,0.5,3,262,56,43,13,206,76.78571428571429,2247.1379719999995,140.8574239999998,22.19300345577346,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,OB,equal,100.0,0.5,3,15,4,3,1,11,75.0,297.5052260000002,18.829773999999816,12.355535287189179,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BB,equal,100.0,0.5,3,0,0,0,0,0,0.0,100.0,0.0,0.0,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,Swapzone,equal,100.0,0.5,3,19,4,3,1,15,75.0,239.80027600000085,21.03899999999976,10.384282313962494,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BPR,equal,100.0,0.5,3,69,8,6,2,61,75.0,0.0,245.17407999999887,104.23178688988399,True,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,IC,equal,100.0,0.5,3,29,13,10,3,16,76.92307692307693,504.84287200000017,27.836049999999886,9.175332026374905,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,COMBINED,equal,100.0,0.5,3,394,127,99,28,267,77.95275590551181,3939.799949999996,245.17407999999887,36.24888959036611,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,FVG,weighted,50.0,0.5,3,262,56,43,13,206,76.78571428571429,3201.0049440000003,202.39884799999982,32.77496202341647,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,OB,weighted,50.0,0.5,3,15,4,3,1,11,75.0,228.6754520000004,37.65954799999963,36.777081919345115,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BB,weighted,50.0,0.5,3,0,0,0,0,0,0.0,50.0,0.0,0.0,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,Swapzone,weighted,50.0,0.5,3,19,4,3,1,15,75.0,243.03655200000048,21.03899999999976,10.221018062563198,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BPR,weighted,50.0,0.5,3,69,8,6,2,61,75.0,0.0,351.6281599999984,168.21968780467105,True,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,IC,weighted,50.0,0.5,3,29,13,10,3,16,76.92307692307693,529.1962440000007,40.159599999999955,13.036638898372836,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,COMBINED,weighted,50.0,0.5,3,394,127,99,28,267,77.95275590551181,5492.763399999997,351.6281599999984,42.72802595112854,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,FVG,weighted,100.0,0.5,3,262,56,43,13,206,76.78571428571429,3251.0049440000003,202.39884799999982,27.011818040711873,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,OB,weighted,100.0,0.5,3,15,4,3,1,11,75.0,278.6754520000004,37.65954799999963,24.711070574378358,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BB,weighted,100.0,0.5,3,0,0,0,0,0,0.0,100.0,0.0,0.0,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,Swapzone,weighted,100.0,0.5,3,19,4,3,1,15,75.0,293.0365520000005,21.03899999999976,8.223481318942662,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,BPR,weighted,100.0,0.5,3,69,8,6,2,61,75.0,0.0,351.6281599999984,135.74849741999708,True,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,IC,weighted,100.0,0.5,3,29,13,10,3,16,76.92307692307693,579.1962440000007,40.159599999999955,11.10942018785585,False,157,132,132,0,,,100.0,True
XAUUSDm,XAUUSD,H4,COMBINED,weighted,100.0,0.5,3,394,127,99,28,267,77.95275590551181,5542.763399999997,351.6281599999984,40.28067673852197,False,157,132,132,0,,,100.0,True
