signal_id,sample_source,time,timeframe,hour,day_of_week,setup_type,direction,entry_price,sl_price,tp_price,risk_pips,atr_14,trend,relative_risk,killzone,fvg_width,relative_fvg_width,near_psychological_level,knn_prob_sig,knn_prob_opp,dist_entry_to_poc,dist_entry_to_nearest_poc,dist_entry_to_pp,dist_entry_to_nearest_pivot,floop_signal,floop_strength,floop_trend,floop_trend_aligned,confidence,accept_threshold,resolved_at,result,pnl_relative,label,rr_ratio,atr_percentile,body_to_range_ratio,dist_to_recent_swing,htf_trend_aligned,confluence_score,order_type,reaction_strength
H4_FVG_DUAL_BEAR_4511.962_4517.133_2026-06-02_16:00:00_0.5,shadow,2026-06-02 16:00:00,240,16,1,0,-1,4511.9625,4535.871,4490.054,23.90850000000046,30.886785714285583,-1,0.774068892152233,2,18.35699999999997,0.5943318340020598,0,1.0,0.0,0.0297929190649528,0.0046739971797196,0.0042998055711056,0.004281396399017,0,9.0,-1,1,0.4798049661385619,0.5,2026-06-04 08:00:00,tp,0.916348,1,0.9163477424346625,0.0,0.0,0.0,1,0,0,0.0
H1_BPR_DUAL_BEAR_4477.288_4480.524_2026-06-04_15:00:00_0.5,shadow,2026-06-04 15:00:00,60,15,3,0,-1,4477.2875,4493.0,4463.575,15.712499999999636,20.41985714285712,1,0.7694715927773216,2,12.024000000000342,0.5888385954848046,0,0.8044093084731081,0.1955906915268918,0.0315568683541308,0.0032215040914839,0.0040467640015951,0.0039321799192028,0,6.0,-1,1,0.4476787180352135,0.5,2026-06-04 23:00:00,tp,0.872713,1,0.8727128082737224,0.0,0.0,0.0,1,0,0,0.0
H1_BPR_DUAL_BEAR_4477.288_4480.524_2026-06-04_15:00:00_0.618,shadow,2026-06-04 15:00:00,60,15,3,0,-1,4480.52365,4493.0,4463.575,12.476349999999911,20.41985714285712,1,0.6109910521271275,2,12.024000000000342,0.5888385954848046,1,0.8044093084731081,0.1955906915268918,0.032302469962141,0.0039414477814439,0.0047724815114319,0.0032070693344065,0,6.0,-1,1,0.3878177992575686,0.5,2026-06-04 23:00:00,tp,1.358462,1,1.3584622105023016,0.0,0.0,0.0,1,0,0,0.0
H1_FVG_DUAL_BEAR_4328.566_4331.762_2026-06-05_19:00:00_0.5,shadow,2026-06-05 19:00:00,60,19,4,0,-1,4328.5665,4344.108,4315.025,15.54150000000027,25.70414285714287,-1,0.6046301596741038,0,10.353000000000064,0.4027755392404805,0,0.8044093084731081,0.1955906915268918,-0.002708112176714,0.0027154659631542,-0.0323538912591276,0.006937054103246,0,14.0,-1,1,0.3961545383740482,0.5,2026-06-05 20:00:00,tp,0.871312,1,0.8713122928932236,0.0,0.0,0.0,1,0,0,0.0
H1_BPR_DUAL_BEAR_4530.587_4533.475_2026-05-31_22:00:00_0.5,shadow,2026-05-31 22:00:00,60,22,6,0,-1,4530.5875,4544.821,4518.354,14.233500000000276,21.39592857142861,1,0.6652433874268585,0,2.050000000000182,0.0958126212263431,1,0.8044093084731081,0.1955906915268918,0.0438370672654749,0.0019355767877786,-0.0026277241463117,0.0026346472725669,0,7.0,-1,1,0.39718943535031,0.5,2026-05-31 23:00:00,sl,-1.0,0,0.8594864228755492,0.0,0.0,0.0,1,0,0,0.0
H1_BPR_DUAL_BEAR_4530.587_4533.475_2026-05-31_22:00:00_0.618,shadow,2026-05-31 22:00:00,60,22,6,0,-1,4533.474606,4544.821,4518.354,11.346394000000146,21.39592857142861,1,0.5303062198081803,0,2.050000000000182,0.0958126212263431,0,0.8044093084731081,0.1955906915268918,0.0445022499288546,0.0025711859033186,-0.0019921510596312,0.0019961276474392,0,7.0,-1,1,0.394826432756724,0.5,2026-05-31 23:00:00,sl,-1.0,0,1.3326353729651292,0.0,0.0,0.0,1,0,0,0.0
H4_BPR_DUAL_BEAR_4792.407_4797.065_2026-04-21_04:00:00_0.5,shadow,2026-04-21 04:00:00,240,4,1,0,-1,4792.406999999999,4814.146,4772.668,21.739000000000487,40.23342857142864,-1,0.5403218361419543,3,0.4339999999992869,0.0107870498590191,0,1.0,0.0,0.0938004901142934,0.0201913673024848,-0.0015560125272691,0.0015584374755039,0,10.0,1,0,0.3771803428638564,0.5,2026-04-21 12:00:00,tp,0.907999,1,0.9079994479966482,0.0,0.0,0.0,0,0,0,0.0
H4_BPR_DUAL_BEAR_4792.407_4797.065_2026-04-21_04:00:00_0.618,shadow,2026-04-21 04:00:00,240,4,1,0,-1,4797.065404,4814.146,4772.668,17.080595999999787,40.23342857142864,-1,0.4245374209079809,3,0.4339999999992869,0.0107870498590191,0,1.0,0.0,0.0948637062765166,0.02114285411148,-0.000585486554617,0.0005858295499418,0,10.0,1,0,0.3401499776993066,0.5,2026-04-21 12:00:00,tp,1.42837,1,1.428369595534054,0.0,0.0,0.0,0,0,0,0.0
H1_Swapzone_SINGLE_BEAR_4521.317_2026-06-02_12:00:00,shadow,2026-06-02 12:00:00,60,12,1,1,-1,4521.317,4521.817,4520.317,0.5,16.008357142857026,-1,0.0312336859765214,0,0.0,0.0,0,0.8044093084731081,0.1955906915268918,0.0417011651264953,0.0001108526564272,0.0063819865580299,0.0036431862663022,-1,6.0,-1,1,0.3714166105192591,0.5,2026-06-02 13:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
M15_FVG_DUAL_BEAR_4345.119_4347.447_2026-06-05_15:45:00_0.5,shadow,2026-06-05 15:45:00,15,15,4,0,-1,4345.1195,4356.982,4335.257,11.862500000000182,20.811642857142747,-1,0.5699934446034789,2,6.003000000000611,0.2884443117348771,1,0.8901112075416525,0.1098887924583473,0.0049949942159732,0.0049279599790061,-0.0286534869710134,0.0031010654597643,0,14.0,-1,1,0.3457866270544272,0.5,2026-06-05 18:00:00,tp,0.831401,1,0.8314014752370943,0.0,0.0,0.0,1,0,0,0.0
H1_Swapzone_SINGLE_BEAR_4472.821_2026-06-04_22:00:00,shadow,2026-06-04 22:00:00,60,22,3,1,-1,4472.821,4473.321,4471.821,0.5,16.881214285714318,-1,0.0296187224175646,0,0.0,0.0,0,0.8044093084731081,0.1955906915268918,0.0305277969012692,0.0022261342450323,0.0030451363707106,0.0030358916665792,0,11.0,-1,1,0.3122215697099296,0.5,2026-06-04 23:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
M15_BPR_DUAL_BEAR_4567.762_4570.145_2026-05-29_15:45:00_0.5,shadow,2026-05-29 15:45:00,15,15,4,0,-1,4567.7615000000005,4579.862,4557.661,12.100499999999556,16.76950000000001,1,0.7215778645755417,2,6.279000000000451,0.3744297683294342,0,0.8901112075416525,0.1098887924583473,0.0564904929018513,0.0200253231259995,0.0243348670504037,0.003393529485577,0,1.0,-1,1,0.312071778799372,0.5,2026-05-29 17:30:00,tp,0.834718,1,0.8347175736540503,0.0,0.0,0.0,1,0,0,0.0
